date,avgprice
2015-12-27,1.33
2015-12-20,1.35
2015-12-13,0.93
2015-12-06,1.08
2015-11-29,1.28
2015-11-22,1.26
2015-11-15,0.99
2015-11-08,0.98
2015-11-01,1.02
2015-10-25,1.07
2015-10-18,1.12
2015-10-11,1.28
2015-10-04,1.31
2015-09-27,0.99
2015-09-20,1.33
2015-09-13,1.28
2015-09-06,1.11
2015-08-30,1.07
2015-08-23,1.34
2015-08-16,1.33
2015-08-09,1.12
2015-08-02,1.45
2015-07-26,1.11
2015-07-19,1.26
2015-07-12,1.05
2015-07-05,1.35
2015-06-28,1.37
2015-06-21,1.27
2015-06-14,1.32
2015-06-07,1.07
2015-05-31,1.23
2015-05-24,1.19
2015-05-17,1.43
2015-05-10,1.26
2015-05-03,1.2
2015-04-26,1.22
2015-04-19,1.19
2015-04-12,1.13
2015-04-05,1.16
2015-03-29,1.02
2015-03-22,1.12
2015-03-15,1.11
2015-03-08,1.07
2015-03-01,0.99
2015-02-22,1.07
2015-02-15,1.06
2015-02-08,0.99
2015-02-01,0.99
2015-01-25,1.06
2015-01-18,1.17
2015-01-11,1.24
2015-01-04,1.22
2015-12-27,0.99
2015-12-20,1.08
2015-12-13,0.96
2015-12-06,1.07
2015-11-29,0.99
2015-11-22,1.0
2015-11-15,1.13
2015-11-08,1.12
2015-11-01,0.99
2015-10-25,1.09
2015-10-18,1.09
2015-10-11,0.95
2015-10-04,0.96
2015-09-27,1.07
2015-09-20,0.93
2015-09-13,1.07
2015-09-06,0.97
2015-08-30,1.15
2015-08-23,1.12
2015-08-16,1.09
2015-08-09,1.01
2015-08-02,1.15
2015-07-26,1.08
2015-07-19,0.97
2015-07-12,1.14
2015-07-05,1.01
2015-06-28,1.13
2015-06-21,0.99
2015-06-14,1.1
2015-06-07,0.99
2015-05-31,1.1
2015-05-24,0.96
2015-05-17,1.11
2015-05-10,1.1
2015-05-03,1.0
2015-04-26,1.12
2015-04-19,1.12
2015-04-12,0.99
2015-04-05,1.04
2015-03-29,1.11
2015-03-22,1.0
2015-03-15,1.12
2015-03-08,1.1
2015-03-01,0.99
2015-02-22,1.1
2015-02-15,1.06
2015-02-08,1.03
2015-02-01,0.96
2015-01-25,1.1
2015-01-18,1.11
2015-01-11,1.11
2015-01-04,1.0
2015-12-27,1.17
2015-12-20,1.11
2015-12-13,1.15
2015-12-06,1.04
2015-11-29,1.16
2015-11-22,1.12
2015-11-15,1.04
2015-11-08,1.05
2015-11-01,1.12
2015-10-25,1.19
2015-10-18,0.99
2015-10-11,1.24
2015-10-04,1.28
2015-09-27,1.19
2015-09-20,1.17
2015-09-13,1.09
2015-09-06,1.18
2015-08-30,1.24
2015-08-23,1.16
2015-08-16,1.14
2015-08-09,1.16
2015-08-02,1.17
2015-07-26,1.2
2015-07-19,1.18
2015-07-12,1.1
2015-07-05,1.16
2015-06-28,1.15
2015-06-21,1.16
2015-06-14,1.09
2015-06-07,1.26
2015-05-31,1.19
2015-05-24,1.18
2015-05-17,1.27
2015-05-10,1.26
2015-05-03,1.17
2015-04-26,1.29
2015-04-19,1.28
2015-04-12,1.15
2015-04-05,1.29
2015-03-29,1.25
2015-03-22,1.1
2015-03-15,1.24
2015-03-08,1.26
2015-03-01,1.16
2015-02-22,1.11
2015-02-15,1.25
2015-02-08,1.09
2015-02-01,1.06
2015-01-25,1.2
2015-01-18,1.23
2015-01-11,1.17
2015-01-04,1.08
2015-12-27,0.97
2015-12-20,1.03
2015-12-13,0.99
2015-12-06,0.71
2015-11-29,1.06
2015-11-22,1.09
2015-11-15,1.01
2015-11-08,1.11
2015-11-01,1.14
2015-10-25,1.11
2015-10-18,1.16
2015-10-11,0.94
2015-10-04,1.12
2015-09-27,0.99
2015-09-20,1.03
2015-09-13,1.08
2015-09-06,1.16
2015-08-30,1.19
2015-08-23,1.05
2015-08-16,1.12
2015-08-09,1.1
2015-08-02,1.07
2015-07-26,1.07
2015-07-19,1.09
2015-07-12,1.05
2015-07-05,1.15
2015-06-28,1.04
2015-06-21,1.06
2015-06-14,0.99
2015-06-07,1.12
2015-05-31,0.97
2015-05-24,1.03
2015-05-17,0.96
2015-05-10,1.06
2015-05-03,1.0
2015-04-26,0.96
2015-04-19,0.99
2015-04-12,1.19
2015-04-05,1.09
2015-03-29,0.98
2015-03-22,1.17
2015-03-15,1.0
2015-03-08,1.14
2015-03-01,1.06
2015-02-22,0.99
2015-02-15,1.14
2015-02-08,1.07
2015-02-01,0.91
2015-01-25,1.03
2015-01-18,1.08
2015-01-11,1.18
2015-01-04,1.01
2015-12-27,1.13
2015-12-20,1.07
2015-12-13,1.01
2015-12-06,1.02
2015-11-29,1.19
2015-11-22,1.07
2015-11-15,1.05
2015-11-08,1.04
2015-11-01,1.06
2015-10-25,1.02
2015-10-18,0.94
2015-10-11,1.14
2015-10-04,1.07
2015-09-27,1.07
2015-09-20,1.15
2015-09-13,1.03
2015-09-06,1.11
2015-08-30,1.13
2015-08-23,1.07
2015-08-16,1.15
2015-08-09,1.07
2015-08-02,1.17
2015-07-26,1.28
2015-07-19,1.18
2015-07-12,1.14
2015-07-05,1.27
2015-06-28,1.25
2015-06-21,1.24
2015-06-14,1.08
2015-06-07,1.25
2015-05-31,1.26
2015-05-24,1.14
2015-05-17,1.26
2015-05-10,1.14
2015-05-03,1.17
2015-04-26,1.28
2015-04-19,1.15
2015-04-12,1.26
2015-04-05,1.27
2015-03-29,1.19
2015-03-22,1.18
2015-03-15,1.25
2015-03-08,1.17
2015-03-01,1.11
2015-02-22,1.23
2015-02-15,1.2
2015-02-08,1.04
2015-02-01,1.22
2015-01-25,1.17
2015-01-18,1.23
2015-01-11,1.1
2015-01-04,1.02
2015-12-27,1.35
2015-12-20,1.37
2015-12-13,1.35
2015-12-06,1.23
2015-11-29,1.39
2015-11-22,1.4
2015-11-15,1.36
2015-11-08,1.3
2015-11-01,1.23
2015-10-25,1.36
2015-10-18,1.29
2015-10-11,1.3
2015-10-04,1.33
2015-09-27,1.31
2015-09-20,1.54
2015-09-13,1.59
2015-09-06,1.56
2015-08-30,1.38
2015-08-23,1.49
2015-08-16,1.5
2015-08-09,1.47
2015-08-02,1.47
2015-07-26,1.39
2015-07-19,1.36
2015-07-12,1.45
2015-07-05,1.47
2015-06-28,1.36
2015-06-21,1.5
2015-06-14,1.34
2015-06-07,1.38
2015-05-31,1.4
2015-05-24,1.43
2015-05-17,1.35
2015-05-10,1.33
2015-05-03,1.42
2015-04-26,1.41
2015-04-19,1.42
2015-04-12,1.42
2015-04-05,1.44
2015-03-29,1.39
2015-03-22,1.4
2015-03-15,1.47
2015-03-08,1.35
2015-03-01,1.43
2015-02-22,1.41
2015-02-15,1.44
2015-02-08,1.36
2015-02-01,1.33
2015-01-25,1.5
2015-01-18,1.52
2015-01-11,1.54
2015-01-04,1.4
2015-12-27,0.9
2015-12-20,0.94
2015-12-13,0.87
2015-12-06,0.78
2015-11-29,0.91
2015-11-22,0.92
2015-11-15,0.83
2015-11-08,0.98
2015-11-01,0.95
2015-10-25,1.12
2015-10-18,1.07
2015-10-11,1.08
2015-10-04,1.02
2015-09-27,1.04
2015-09-20,1.14
2015-09-13,1.13
2015-09-06,1.09
2015-08-30,1.08
2015-08-23,1.18
2015-08-16,1.11
2015-08-09,1.1
2015-08-02,1.16
2015-07-26,1.13
2015-07-19,1.18
2015-07-12,1.13
2015-07-05,1.12
2015-06-28,1.1
2015-06-21,1.07
2015-06-14,0.97
2015-06-07,0.98
2015-05-31,0.98
2015-05-24,1.1
2015-05-17,1.08
2015-05-10,0.93
2015-05-03,0.88
2015-04-26,1.15
2015-04-19,1.05
2015-04-12,1.06
2015-04-05,1.12
2015-03-29,1.1
2015-03-22,1.06
2015-03-15,1.06
2015-03-08,0.96
2015-03-01,0.84
2015-02-22,0.96
2015-02-15,0.96
2015-02-08,0.91
2015-02-01,0.85
2015-01-25,1.06
2015-01-18,1.02
2015-01-11,0.92
2015-01-04,0.93
2015-12-27,0.96
2015-12-20,0.98
2015-12-13,0.95
2015-12-06,0.99
2015-11-29,0.95
2015-11-22,1.0
2015-11-15,1.01
2015-11-08,1.03
2015-11-01,1.11
2015-10-25,1.27
2015-10-18,1.26
2015-10-11,1.14
2015-10-04,1.22
2015-09-27,1.09
2015-09-20,1.2
2015-09-13,1.19
2015-09-06,1.01
2015-08-30,1.2
2015-08-23,1.15
2015-08-16,1.24
2015-08-09,1.21
2015-08-02,1.24
2015-07-26,1.23
2015-07-19,1.19
2015-07-12,1.18
2015-07-05,1.18
2015-06-28,1.17
2015-06-21,1.17
2015-06-14,1.15
2015-06-07,1.15
2015-05-31,1.19
2015-05-24,1.2
2015-05-17,1.21
2015-05-10,1.19
2015-05-03,1.0
2015-04-26,1.2
2015-04-19,1.18
2015-04-12,1.17
2015-04-05,1.19
2015-03-29,1.23
2015-03-22,1.19
2015-03-15,1.19
2015-03-08,1.25
2015-03-01,1.18
2015-02-22,1.08
2015-02-15,1.22
2015-02-08,1.17
2015-02-01,0.98
2015-01-25,1.18
2015-01-18,1.25
2015-01-11,1.26
2015-01-04,1.19
2015-12-27,0.93
2015-12-20,0.91
2015-12-13,1.07
2015-12-06,1.14
2015-11-29,1.11
2015-11-22,0.94
2015-11-15,1.17
2015-11-08,1.01
2015-11-01,1.0
2015-10-25,1.12
2015-10-18,1.15
2015-10-11,1.08
2015-10-04,1.18
2015-09-27,1.15
2015-09-20,1.19
2015-09-13,1.19
2015-09-06,1.11
2015-08-30,1.12
2015-08-23,1.2
2015-08-16,1.16
2015-08-09,1.25
2015-08-02,1.27
2015-07-26,1.12
2015-07-19,1.24
2015-07-12,1.26
2015-07-05,1.24
2015-06-28,1.21
2015-06-21,1.24
2015-06-14,1.21
2015-06-07,1.24
2015-05-31,1.26
2015-05-24,1.23
2015-05-17,1.23
2015-05-10,1.23
2015-05-03,1.04
2015-04-26,1.24
2015-04-19,1.24
2015-04-12,1.24
2015-04-05,1.27
2015-03-29,1.22
2015-03-22,1.21
2015-03-15,1.09
2015-03-08,1.18
2015-03-01,1.09
2015-02-22,1.18
2015-02-15,1.17
2015-02-08,1.13
2015-02-01,0.91
2015-01-25,1.22
2015-01-18,1.14
2015-01-11,1.15
2015-01-04,1.11
2015-12-27,0.87
2015-12-20,0.85
2015-12-13,0.79
2015-12-06,0.83
2015-11-29,0.88
2015-11-22,0.89
2015-11-15,0.88
2015-11-08,0.87
2015-11-01,0.93
2015-10-25,1.01
2015-10-18,0.98
2015-10-11,0.91
2015-10-04,0.93
2015-09-27,1.08
2015-09-20,1.05
2015-09-13,1.05
2015-09-06,1.02
2015-08-30,1.01
2015-08-23,1.05
2015-08-16,1.01
2015-08-09,1.08
2015-08-02,1.09
2015-07-26,1.03
2015-07-19,1.06
2015-07-12,1.03
2015-07-05,1.03
2015-06-28,1.01
2015-06-21,1.02
2015-06-14,1.05
2015-06-07,1.07
2015-05-31,1.06
2015-05-24,1.1
2015-05-17,1.04
2015-05-10,1.06
2015-05-03,1.08
2015-04-26,1.06
2015-04-19,1.02
2015-04-12,1.02
2015-04-05,1.06
2015-03-29,0.95
2015-03-22,0.98
2015-03-15,0.94
2015-03-08,0.87
2015-03-01,0.89
2015-02-22,0.93
2015-02-15,0.94
2015-02-08,0.93
2015-02-01,0.86
2015-01-25,0.93
2015-01-18,0.93
2015-01-11,0.92
2015-01-04,0.88
2015-12-27,0.99
2015-12-20,1.03
2015-12-13,1.03
2015-12-06,0.99
2015-11-29,1.03
2015-11-22,1.04
2015-11-15,0.99
2015-11-08,0.95
2015-11-01,0.99
2015-10-25,1.04
2015-10-18,0.98
2015-10-11,0.9
2015-10-04,0.93
2015-09-27,1.02
2015-09-20,1.0
2015-09-13,1.02
2015-09-06,1.04
2015-08-30,1.03
2015-08-23,1.08
2015-08-16,1.03
2015-08-09,1.0
2015-08-02,1.05
2015-07-26,1.02
2015-07-19,1.05
2015-07-12,1.04
2015-07-05,0.98
2015-06-28,0.94
2015-06-21,0.99
2015-06-14,1.01
2015-06-07,1.03
2015-05-31,1.1
2015-05-24,1.01
2015-05-17,1.0
2015-05-10,1.1
2015-05-03,0.99
2015-04-26,1.02
2015-04-19,1.0
2015-04-12,1.07
2015-04-05,1.09
2015-03-29,0.96
2015-03-22,0.94
2015-03-15,1.01
2015-03-08,0.95
2015-03-01,1.03
2015-02-22,1.09
2015-02-15,1.05
2015-02-08,0.96
2015-02-01,0.87
2015-01-25,1.08
2015-01-18,1.02
2015-01-11,0.97
2015-01-04,0.89
2015-12-27,0.8
2015-12-20,0.82
2015-12-13,0.79
2015-12-06,0.74
2015-11-29,0.8
2015-11-22,0.78
2015-11-15,0.71
2015-11-08,0.8
2015-11-01,0.78
2015-10-25,0.86
2015-10-18,0.83
2015-10-11,0.81
2015-10-04,0.82
2015-09-27,0.84
2015-09-20,0.77
2015-09-13,0.86
2015-09-06,0.84
2015-08-30,0.82
2015-08-23,0.85
2015-08-16,0.88
2015-08-09,0.85
2015-08-02,0.87
2015-07-26,0.8
2015-07-19,0.82
2015-07-12,0.82
2015-07-05,0.83
2015-06-28,0.77
2015-06-21,0.75
2015-06-14,0.65
2015-06-07,0.73
2015-05-31,0.68
2015-05-24,0.81
2015-05-17,0.73
2015-05-10,0.75
2015-05-03,0.77
2015-04-26,0.81
2015-04-19,0.8
2015-04-12,0.72
2015-04-05,0.77
2015-03-29,0.79
2015-03-22,0.67
2015-03-15,0.72
2015-03-08,0.75
2015-03-01,0.82
2015-02-22,0.8
2015-02-15,0.77
2015-02-08,0.67
2015-02-01,0.68
2015-01-25,0.8
2015-01-18,0.76
2015-01-11,0.76
2015-01-04,0.74
2015-12-27,0.98
2015-12-20,1.05
2015-12-13,0.83
2015-12-06,0.76
2015-11-29,1.12
2015-11-22,0.85
2015-11-15,0.82
2015-11-08,0.93
2015-11-01,0.82
2015-10-25,0.93
2015-10-18,0.87
2015-10-11,0.9
2015-10-04,1.02
2015-09-27,0.97
2015-09-20,0.98
2015-09-13,1.01
2015-09-06,1.09
2015-08-30,1.14
2015-08-23,1.2
2015-08-16,1.17
2015-08-09,1.09
2015-08-02,1.05
2015-07-26,1.18
2015-07-19,1.1
2015-07-12,1.18
2015-07-05,1.19
2015-06-28,1.2
2015-06-21,1.16
2015-06-14,1.16
2015-06-07,1.11
2015-05-31,1.26
2015-05-24,1.16
2015-05-17,1.21
2015-05-10,1.08
2015-05-03,1.01
2015-04-26,1.19
2015-04-19,1.08
2015-04-12,1.05
2015-04-05,1.19
2015-03-29,1.11
2015-03-22,1.15
2015-03-15,1.03
2015-03-08,1.03
2015-03-01,1.03
2015-02-22,1.0
2015-02-15,1.12
2015-02-08,0.95
2015-02-01,0.93
2015-01-25,1.02
2015-01-18,0.99
2015-01-11,1.09
2015-01-04,0.99
2015-12-27,1.08
2015-12-20,1.1
2015-12-13,1.05
2015-12-06,0.98
2015-11-29,1.11
2015-11-22,1.09
2015-11-15,1.1
2015-11-08,1.03
2015-11-01,1.04
2015-10-25,1.17
2015-10-18,0.97
2015-10-11,0.99
2015-10-04,1.1
2015-09-27,1.17
2015-09-20,1.0
2015-09-13,1.03
2015-09-06,1.09
2015-08-30,0.96
2015-08-23,1.11
2015-08-16,0.97
2015-08-09,1.07
2015-08-02,1.04
2015-07-26,0.99
2015-07-19,1.04
2015-07-12,1.02
2015-07-05,1.06
2015-06-28,1.0
2015-06-21,0.97
2015-06-14,1.04
2015-06-07,0.97
2015-05-31,1.09
2015-05-24,1.03
2015-05-17,0.95
2015-05-10,1.11
2015-05-03,1.06
2015-04-26,1.01
2015-04-19,0.96
2015-04-12,1.02
2015-04-05,1.11
2015-03-29,0.97
2015-03-22,0.97
2015-03-15,1.13
2015-03-08,1.01
2015-03-01,0.97
2015-02-22,1.15
2015-02-15,1.16
2015-02-08,1.11
2015-02-01,0.92
2015-01-25,1.19
2015-01-18,1.1
2015-01-11,1.08
2015-01-04,1.01
2015-12-27,1.13
2015-12-20,1.13
2015-12-13,1.24
2015-12-06,0.93
2015-11-29,1.12
2015-11-22,1.11
2015-11-15,1.2
2015-11-08,0.93
2015-11-01,0.91
2015-10-25,1.14
2015-10-18,0.94
2015-10-11,0.97
2015-10-04,0.99
2015-09-27,1.15
2015-09-20,0.88
2015-09-13,0.95
2015-09-06,1.09
2015-08-30,0.91
2015-08-23,1.28
2015-08-16,0.89
2015-08-09,1.08
2015-08-02,1.05
2015-07-26,1.12
2015-07-19,1.05
2015-07-12,1.19
2015-07-05,1.16
2015-06-28,1.1
2015-06-21,0.96
2015-06-14,1.07
2015-06-07,1.14
2015-05-31,1.31
2015-05-24,1.3
2015-05-17,0.97
2015-05-10,1.36
2015-05-03,1.06
2015-04-26,1.09
2015-04-19,0.93
2015-04-12,1.13
2015-04-05,1.22
2015-03-29,1.11
2015-03-22,0.91
2015-03-15,1.35
2015-03-08,1.08
2015-03-01,0.95
2015-02-22,1.31
2015-02-15,1.21
2015-02-08,1.24
2015-02-01,0.94
2015-01-25,1.19
2015-01-18,1.07
2015-01-11,1.03
2015-01-04,0.95
2015-12-27,1.01
2015-12-20,1.01
2015-12-13,1.03
2015-12-06,1.0
2015-11-29,1.07
2015-11-22,1.03
2015-11-15,1.09
2015-11-08,0.98
2015-11-01,1.0
2015-10-25,1.1
2015-10-18,1.03
2015-10-11,1.02
2015-10-04,1.05
2015-09-27,1.1
2015-09-20,1.02
2015-09-13,1.03
2015-09-06,1.07
2015-08-30,1.04
2015-08-23,1.14
2015-08-16,1.03
2015-08-09,1.12
2015-08-02,1.14
2015-07-26,1.1
2015-07-19,1.12
2015-07-12,1.14
2015-07-05,1.13
2015-06-28,1.07
2015-06-21,1.08
2015-06-14,1.12
2015-06-07,1.13
2015-05-31,1.2
2015-05-24,1.15
2015-05-17,1.09
2015-05-10,1.15
2015-05-03,1.05
2015-04-26,1.14
2015-04-19,1.06
2015-04-12,1.11
2015-04-05,1.18
2015-03-29,1.09
2015-03-22,1.04
2015-03-15,1.1
2015-03-08,1.04
2015-03-01,1.02
2015-02-22,1.16
2015-02-15,1.15
2015-02-08,1.07
2015-02-01,0.91
2015-01-25,1.13
2015-01-18,1.08
2015-01-11,1.1
2015-01-04,1.02
2015-12-27,1.16
2015-12-20,1.11
2015-12-13,1.14
2015-12-06,1.1
2015-11-29,1.17
2015-11-22,1.16
2015-11-15,1.09
2015-11-08,1.09
2015-11-01,1.13
2015-10-25,1.11
2015-10-18,0.93
2015-10-11,1.05
2015-10-04,1.16
2015-09-27,1.15
2015-09-20,1.17
2015-09-13,1.07
2015-09-06,1.19
2015-08-30,1.18
2015-08-23,1.1
2015-08-16,1.09
2015-08-09,1.07
2015-08-02,1.1
2015-07-26,1.17
2015-07-19,1.19
2015-07-12,1.17
2015-07-05,1.19
2015-06-28,1.2
2015-06-21,1.19
2015-06-14,1.13
2015-06-07,1.21
2015-05-31,1.22
2015-05-24,1.21
2015-05-17,1.19
2015-05-10,1.19
2015-05-03,1.17
2015-04-26,1.21
2015-04-19,1.17
2015-04-12,1.18
2015-04-05,1.21
2015-03-29,1.14
2015-03-22,1.08
2015-03-15,1.2
2015-03-08,1.15
2015-03-01,1.07
2015-02-22,1.2
2015-02-15,1.22
2015-02-08,1.02
2015-02-01,1.06
2015-01-25,1.17
2015-01-18,1.24
2015-01-11,1.26
2015-01-04,1.05
2015-12-27,1.27
2015-12-20,1.18
2015-12-13,1.24
2015-12-06,1.19
2015-11-29,1.32
2015-11-22,1.27
2015-11-15,1.12
2015-11-08,1.16
2015-11-01,1.16
2015-10-25,1.2
2015-10-18,0.93
2015-10-11,1.38
2015-10-04,1.3
2015-09-27,1.29
2015-09-20,1.25
2015-09-13,1.11
2015-09-06,1.27
2015-08-30,1.26
2015-08-23,1.14
2015-08-16,1.12
2015-08-09,1.12
2015-08-02,1.16
2015-07-26,1.3
2015-07-19,1.32
2015-07-12,1.06
2015-07-05,1.25
2015-06-28,1.27
2015-06-21,1.25
2015-06-14,1.15
2015-06-07,1.29
2015-05-31,1.33
2015-05-24,1.34
2015-05-17,1.2
2015-05-10,1.25
2015-05-03,1.25
2015-04-26,1.36
2015-04-19,1.35
2015-04-12,1.25
2015-04-05,1.33
2015-03-29,1.22
2015-03-22,1.11
2015-03-15,1.4
2015-03-08,1.43
2015-03-01,1.12
2015-02-22,1.38
2015-02-15,1.39
2015-02-08,1.09
2015-02-01,1.32
2015-01-25,1.35
2015-01-18,1.39
2015-01-11,1.38
2015-01-04,1.06
2015-12-27,0.78
2015-12-20,0.75
2015-12-13,0.73
2015-12-06,0.74
2015-11-29,0.79
2015-11-22,0.73
2015-11-15,0.72
2015-11-08,0.75
2015-11-01,0.77
2015-10-25,0.88
2015-10-18,0.9
2015-10-11,0.79
2015-10-04,0.82
2015-09-27,0.86
2015-09-20,0.83
2015-09-13,0.89
2015-09-06,0.89
2015-08-30,0.88
2015-08-23,0.89
2015-08-16,0.92
2015-08-09,0.92
2015-08-02,0.9
2015-07-26,0.79
2015-07-19,0.78
2015-07-12,0.79
2015-07-05,0.79
2015-06-28,0.74
2015-06-21,0.74
2015-06-14,0.62
2015-06-07,0.72
2015-05-31,0.72
2015-05-24,0.83
2015-05-17,0.82
2015-05-10,0.76
2015-05-03,0.74
2015-04-26,0.79
2015-04-19,0.82
2015-04-12,0.79
2015-04-05,0.83
2015-03-29,0.79
2015-03-22,0.8
2015-03-15,0.77
2015-03-08,0.78
2015-03-01,0.87
2015-02-22,0.82
2015-02-15,0.73
2015-02-08,0.7
2015-02-01,0.72
2015-01-25,0.77
2015-01-18,0.77
2015-01-11,0.78
2015-01-04,0.71
2015-12-27,1.04
2015-12-20,1.1
2015-12-13,1.03
2015-12-06,0.92
2015-11-29,1.08
2015-11-22,1.11
2015-11-15,1.08
2015-11-08,0.96
2015-11-01,1.01
2015-10-25,1.02
2015-10-18,0.97
2015-10-11,1.1
2015-10-04,0.98
2015-09-27,1.04
2015-09-20,0.91
2015-09-13,0.87
2015-09-06,1.11
2015-08-30,1.17
2015-08-23,1.22
2015-08-16,1.14
2015-08-09,1.2
2015-08-02,1.21
2015-07-26,1.22
2015-07-19,1.07
2015-07-12,1.05
2015-07-05,1.05
2015-06-28,0.95
2015-06-21,1.03
2015-06-14,1.15
2015-06-07,1.28
2015-05-31,1.37
2015-05-24,1.29
2015-05-17,1.26
2015-05-10,1.06
2015-05-03,1.13
2015-04-26,1.24
2015-04-19,1.08
2015-04-12,1.15
2015-04-05,1.17
2015-03-29,1.09
2015-03-22,1.11
2015-03-15,1.21
2015-03-08,1.07
2015-03-01,1.13
2015-02-22,1.34
2015-02-15,1.3
2015-02-08,0.98
2015-02-01,0.92
2015-01-25,1.06
2015-01-18,1.14
2015-01-11,1.25
2015-01-04,1.02
2015-12-27,0.99
2015-12-20,1.19
2015-12-13,0.96
2015-12-06,1.19
2015-11-29,0.96
2015-11-22,0.98
2015-11-15,1.25
2015-11-08,1.25
2015-11-01,0.97
2015-10-25,1.22
2015-10-18,1.25
2015-10-11,0.99
2015-10-04,0.99
2015-09-27,1.27
2015-09-20,0.99
2015-09-13,1.24
2015-09-06,0.98
2015-08-30,1.26
2015-08-23,1.25
2015-08-16,1.25
2015-08-09,0.99
2015-08-02,1.24
2015-07-26,1.25
2015-07-19,1.0
2015-07-12,1.22
2015-07-05,0.95
2015-06-28,1.16
2015-06-21,0.95
2015-06-14,1.2
2015-06-07,0.98
2015-05-31,1.24
2015-05-24,1.0
2015-05-17,1.22
2015-05-10,1.24
2015-05-03,0.96
2015-04-26,1.21
2015-04-19,1.17
2015-04-12,0.99
2015-04-05,1.1
2015-03-29,1.2
2015-03-22,0.96
2015-03-15,1.27
2015-03-08,1.24
2015-03-01,1.01
2015-02-22,1.1
2015-02-15,1.24
2015-02-08,1.21
2015-02-01,0.92
2015-01-25,1.2
2015-01-18,1.27
2015-01-11,1.2
2015-01-04,0.97
2015-12-27,0.83
2015-12-20,0.96
2015-12-13,0.95
2015-12-06,0.89
2015-11-29,0.95
2015-11-22,0.98
2015-11-15,0.95
2015-11-08,0.92
2015-11-01,0.99
2015-10-25,0.98
2015-10-18,0.91
2015-10-11,0.94
2015-10-04,0.97
2015-09-27,0.97
2015-09-20,0.97
2015-09-13,0.88
2015-09-06,1.02
2015-08-30,1.09
2015-08-23,1.06
2015-08-16,0.96
2015-08-09,0.96
2015-08-02,1.09
2015-07-26,1.06
2015-07-19,1.03
2015-07-12,1.02
2015-07-05,1.05
2015-06-28,1.01
2015-06-21,0.9
2015-06-14,0.88
2015-06-07,1.02
